impl,procs,size,time,threads
OMP,4,400,0.32943577,3
OMP,4,500,0.17262803,3
OMP,4,600,0.26614746,3
OMP,4,700,0.40237939,3
OMP,4,800,1.15824333,3
OMP,4,900,0.81842501,3
OMP,4,1000,2.02746105,3
OMP,4,2000,7.32000148,3
OMP,4,3000,23.38623080,3
OMP,4,100,0.19021171,4
OMP,4,200,0.03716091,4
OMP,4,300,0.07298639,4
OMP,4,400,0.11444067,4
OMP,4,500,0.18760629,4
OMP,4,600,0.29596140,4
OMP,4,700,0.37883678,4
OMP,4,800,1.49422170,4
OMP,4,900,0.71268591,4
OMP,4,1000,1.43357971,4
OMP,4,2000,5.56756690,4
OMP,4,3000,19.59671575,4
OMP,5,100,0.19717680,1
OMP,5,200,0.03651198,1
OMP,5,300,0.10082357,1
OMP,5,400,0.19255129,1
OMP,5,500,0.30985774,1
OMP,5,600,0.50939887,1
OMP,5,700,0.73474190,1
OMP,5,800,1.20657360,1
OMP,5,900,1.60592008,1
OMP,5,1000,2.17309442,1
OMP,5,2000,15.73955564,1
OMP,5,3000,51.80208518,1
OMP,5,100,0.07386345,2
OMP,5,200,0.15317838,2
OMP,5,300,0.25269302,2
OMP,5,400,0.32992293,2
OMP,5,500,0.21155334,2
OMP,5,600,0.29589773,2
OMP,5,700,0.43953915,2
OMP,5,800,0.96748688,2
OMP,5,900,1.05835171,2
OMP,5,1000,1.39001118,2
OMP,5,2000,8.59346062,2
OMP,5,3000,27.08750893,2
OMP,5,100,0.01376211,3
OMP,5,200,0.02909526,3
OMP,5,300,0.05742364,3
OMP,5,400,0.09939491,3
OMP,5,500,0.15543293,3
OMP,5,600,0.51870079,3
OMP,5,700,0.34596364,3
OMP,5,800,0.67237880,3
OMP,5,900,0.85213785,3
OMP,5,1000,1.06072002,3
OMP,5,2000,5.95934269,3
OMP,5,3000,22.98534818,3
OMP,5,100,0.00968163,4
OMP,5,200,0.02669130,4
OMP,5,300,0.05546004,4
OMP,5,400,0.08676465,4
OMP,5,500,0.33025340,4
OMP,5,600,0.49319190,4
OMP,5,700,0.28959301,4
OMP,5,800,0.56945781,4
OMP,5,900,1.32739215,4
OMP,5,1000,0.79617541,4
OMP,5,2000,4.92824834,4
OMP,5,3000,22.74664942,4
OMP,6,100,0.18172450,1
OMP,6,200,0.03752106,1
OMP,6,300,0.09130677,1
OMP,6,400,0.16514599,1
OMP,6,500,0.26666859,1
OMP,6,600,0.43187248,1
OMP,6,700,0.66101142,1
OMP,6,800,1.20295137,1
OMP,6,900,1.40898361,1
OMP,6,1000,1.84035032,1
OMP,6,2000,13.87996898,1
OMP,6,3000,43.95660320,1
OMP,6,100,0.01295656,2
OMP,6,200,0.04253097,2
OMP,6,300,0.21728411,2
OMP,6,400,0.20092018,2
OMP,6,500,0.26015282,2
OMP,6,600,0.36795739,2
OMP,6,700,0.39314422,2
OMP,6,800,1.47925755,2
OMP,6,900,0.85646385,2
OMP,6,1000,1.11352133,2
OMP,6,2000,7.12315718,2
OMP,6,3000,22.91152809,2
OMP,6,100,0.01144603,3
OMP,6,200,0.03104904,3
OMP,6,300,0.05690435,3
OMP,6,400,0.09347175,3
OMP,6,500,0.14264686,3
OMP,6,600,0.23938912,3
OMP,6,700,0.32414344,3
OMP,6,800,1.49153388,3
OMP,6,900,0.67180011,3
OMP,6,1000,1.41119810,3
OMP,6,2000,5.14317708,3
OMP,6,3000,17.83377812,3
OMP,6,100,0.01420549,4
OMP,6,200,0.02896725,4
OMP,6,300,0.05489360,4
OMP,6,400,0.08777379,4
OMP,6,500,0.13108200,4
OMP,6,600,0.18840278,4
OMP,6,700,0.35750973,4
OMP,6,800,1.43342819,4
OMP,6,900,0.60705455,4
OMP,6,1000,1.48966663,4
OMP,6,2000,4.23271432,4
OMP,6,3000,14.82489093,4
OMP,7,100,0.08308608,1
OMP,7,200,0.03547400,1
OMP,7,300,0.07924540,1
OMP,7,400,0.17018504,1
OMP,7,500,0.23614538,1
OMP,7,600,0.41145435,1
OMP,7,700,0.67786760,1
OMP,7,800,1.11540937,1
OMP,7,900,1.30169643,1
OMP,7,1000,1.72962620,1
OMP,7,2000,12.24833086,1
OMP,7,3000,38.31410836,1
OMP,7,100,0.01359070,2
OMP,7,200,0.03949104,2
OMP,7,300,0.06861940,2
OMP,7,400,0.10251819,2
OMP,7,500,0.31250069,2
OMP,7,600,0.43207036,2
OMP,7,700,0.49199382,2
OMP,7,800,1.63683567,2
OMP,7,900,0.81275441,2
OMP,7,1000,1.33713688,2
OMP,7,2000,6.21144489,2
OMP,7,3000,19.65780652,2
OMP,7,100,0.03024191,3
OMP,7,200,0.03417603,3
OMP,7,300,0.06557894,3
OMP,7,400,0.10150193,3
OMP,7,500,0.13142730,3
OMP,7,600,0.19586530,3
OMP,7,700,0.37962381,3
OMP,7,800,1.00153189,3
OMP,7,900,1.08615599,3
OMP,7,1000,0.84828558,3
OMP,7,2000,4.44755919,3
OMP,7,3000,15.88099889,3
OMP,7,100,0.08140856,4
OMP,7,200,0.06098015,4
OMP,7,300,0.11585251,4
OMP,7,400,0.16955820,4
OMP,7,500,0.23032213,4
OMP,7,600,0.26184645,4
OMP,7,700,0.33994250,4
OMP,7,800,1.54909498,4
OMP,7,900,0.57908750,4
OMP,7,1000,1.41635560,4
OMP,7,2000,3.90356150,4
OMP,7,3000,15.70112501,4
OMP,8,100,0.13385705,1
OMP,8,200,0.10211612,1
OMP,8,300,0.19101178,1
OMP,8,400,0.16919053,1
OMP,8,500,0.23333443,1
OMP,8,600,0.35963476,1
OMP,8,700,0.54848576,1
OMP,8,800,1.01682668,1
OMP,8,900,1.19481415,1
OMP,8,1000,1.58738506,1
OMP,8,2000,10.43735028,1
OMP,8,3000,33.58233070,1
OMP,8,100,0.01179129,2
OMP,8,200,0.02899231,2
OMP,8,300,0.06298308,2
OMP,8,400,0.10521103,2
OMP,8,500,0.15058653,2
OMP,8,600,0.31746238,2
OMP,8,700,0.44918331,2
OMP,8,800,1.19043113,2
OMP,8,900,0.81238479,2
OMP,8,1000,1.22396313,2
OMP,8,2000,5.61626739,2
OMP,8,3000,17.64404227,2
OMP,8,100,0.01196729,3
OMP,8,200,0.02834554,3
OMP,8,300,0.05399233,3
OMP,8,400,0.09216471,3
OMP,8,500,0.14726018,3
OMP,8,600,0.30132022,3
OMP,8,700,0.39888080,3
OMP,8,800,1.22923622,3
OMP,8,900,0.63791814,3
OMP,8,1000,1.43410062,3
OMP,8,2000,4.07580103,3
OMP,8,3000,13.94673985,3
OMP,8,100,0.01276835,4
OMP,8,200,0.03307164,4
OMP,8,300,0.04924102,4
OMP,8,400,0.08379680,4
OMP,8,500,0.12158659,4
OMP,8,600,0.23587614,4
OMP,8,700,0.31503881,4
OMP,8,800,1.44980764,4
OMP,8,900,0.55801440,4
OMP,8,1000,1.53166058,4
OMP,8,2000,3.30952834,4
OMP,8,3000,13.79539016,4
OMP,9,100,0.11848457,1
